U+30000	𰀀	ghg
U+303A5	𰎥	mfqf
U+303A6	𰎦	marw
U+303A7	𰎧	wnnm
U+303A8	𰎨	tvym
U+303A9	𰎩	mdjb
U+303AA	𰎪	mfch
U+303AB	𰎫	mqty
U+303AC	𰎬	rdfm
U+303AD	𰎭	mykq
U+303AE	𰎮	msnu
U+303AF	𰎯	mwyb
U+303B0	𰎰	mnie
U+303B1	𰎱	mmee
U+303B2	𰎲	mnhf
U+303B3	𰎳	mpf
U+303B4	𰎴	mngt
U+303B5	𰎵	mkkt
U+303B6	𰎶	mkkt
U+303B7	𰎷	mtkm
U+303B8	𰎸	mugk
U+303B9	𰎹	mfmy
U+303BA	𰎺	mdgn
U+303BB	𰎻	mgdy
U+303BC	𰎼	makw
U+303BD	𰎽	mmnn
U+303BE	𰎾	mtmt
U+303BF	𰎿	mmka
U+303C0	𰏀	mhqe
U+303C1	𰏁	mtfm
U+303C2	𰏂	mmkt
U+303C3	𰏃	kgjg
U+303C4	𰏄	vjfj
U+303C5	𰏅	gvab
U+303C6	𰏆	vlph
U+303C7	𰏇	dann
U+303C8	𰏈	aay
U+303C9	𰏉	agnv
U+303CA	𰏊	adcy
U+303CB	𰏋	adkg
U+303CC	𰏌	dasg
U+303CD	𰏍	damf
U+303CE	𰏎	ugah
U+303CF	𰏏	vtkn
U+303D0	𰏐	ssnb
U+303D1	𰏑	vmhh
U+303D2	𰏒	mhmh
U+303D3	𰏓	mhqg
U+303D4	𰏔	mhyw
U+303D5	𰏕	mhdy
U+303D6	𰏖	mhtp
U+303D7	𰏗	mhmh
U+303D8	𰏘	wmiy
U+303D9	𰏙	wnnh
U+303DA	𰏚	gkpt
U+303DB	𰏛	tmhl
U+303DC	𰏜	mhov
U+303DD	𰏝	rmhh
U+303DE	𰏞	fufh
U+303DF	𰏟	mhui
U+303E0	𰏠	mhsh
U+303E1	𰏡	dmhn
U+303E2	𰏢	fmh
U+303E3	𰏣	sgwf
U+303E4	𰏤	wwga
U+303E5	𰏥	wjrf
U+303E6	𰏦	gwff
U+303E7	𰏧	hnrf
U+303E8	𰏨	gwft
U+303E9	𰏩	fkuf
U+303EA	𰏪	sdfj
U+303EB	𰏫	rhfk
U+303EC	𰏬	kkkf
U+303ED	𰏭	haof
U+303EE	𰏮	fufo
U+303EF	𰏯	cqb
U+303F0	𰏰	xngg
U+303F1	𰏱	nxgg
U+303F2	𰏲	ocgd
U+303F3	𰏳	ojhk
U+303F4	𰏴	oufk
U+303F5	𰏵	igqo
U+303F6	𰏶	owfc
U+303F7	𰏷	ostc
U+303F8	𰏸	oljd
U+303F9	𰏹	odwg
U+303FA	𰏺	otdk
U+303FB	𰏻	oihc
U+303FC	𰏼	ogkh
U+303FD	𰏽	oguf
U+303FE	𰏾	orvc
U+303FF	𰏿	olpi
U+30400	𰐀	orwe
U+30401	𰐁	oyve
U+30402	𰐂	oacq
U+30403	𰐃	ofwl
U+30404	𰐄	oacp
U+30405	𰐅	oehg
U+30406	𰐆	onjd
U+30407	𰐇	hgaj
U+30408	𰐈	vaj
U+30409	𰐉	xxaj
U+3040A	𰐊	gqja
U+3040B	𰐋	lkga
U+3040C	𰐌	srra
U+3040D	𰐍	layy
U+3040E	𰐎	ayjf
U+3040F	𰐏	ayqf
U+30410	𰐐	ayfk
U+30411	𰐑	aynr
U+30412	𰐒	aywj
U+30413	𰐓	xkfg
U+30414	𰐔	xjgg
U+30415	𰐕	xxxj
U+30416	𰐖	xjat
U+30417	𰐗	xgey
U+30418	𰐘	xkfe
U+30419	𰐙	xfhy
U+3041A	𰐚	xqgg
U+3041B	𰐛	xufq
U+3041C	𰐜	xmdj
U+3041D	𰐝	xjgy
U+3041E	𰐞	xyji
U+3041F	𰐟	xajd
U+30420	𰐠	fqxl
U+30421	𰐡	yoxm
U+30422	𰐢	fqfp
U+30423	𰐣	vruf
U+30424	𰐤	tgtv
U+30425	𰐥	vowv
U+30426	𰐦	tet
U+30427	𰐧	uet
U+30428	𰐨	uaet
U+30429	𰐩	eet
U+3042A	𰐪	yket
U+3042B	𰐫	ovet
U+3042C	𰐬	tkh
U+3042D	𰐭	trg
U+3042E	𰐮	tfhg
U+3042F	𰐯	tksy
U+30430	𰐰	tgjy
U+30431	𰐱	thgc
U+30432	𰐲	tqaj
U+30433	𰐳	tvug
U+30434	𰐴	tgct
U+30435	𰐵	tmgk
U+30436	𰐶	txth
U+30437	𰐷	tjlc
U+30438	𰐸	tjxf
U+30439	𰐹	thgf
U+3043A	𰐺	nnu
U+3043B	𰐻	wnu
U+3043C	𰐼	wnu
U+3043D	𰐽	wynu
U+3043E	𰐾	not
U+3043F	𰐿	nnrt
U+30440	𰑀	chnu
U+30441	𰑁	nfny
U+30442	𰑂	nmry
U+30443	𰑃	njg
U+30444	𰑄	nwxn
U+30445	𰑅	nwwy
U+30446	𰑆	tgnu
U+30447	𰑇	ntgf
U+30448	𰑈	cnu
U+30449	𰑉	cbnu
U+3044A	𰑊	nfcy
U+3044B	𰑋	annu
U+3044C	𰑌	nmdy
U+3044D	𰑍	nket
U+3044E	𰑎	wfnu
U+3044F	𰑏	npxn
U+30450	𰑐	nudg
U+30451	𰑑	uvnu
U+30452	𰑒	ntnu
U+30453	𰑓	xgjn
U+30454	𰑔	rvyn
U+30455	𰑕	ddyn
U+30456	𰑖	nrhf
U+30457	𰑗	ntkr
U+30458	𰑘	nugh
U+30459	𰑙	nyjh
U+3045A	𰑚	npfy
U+3045B	𰑛	nota
U+3045C	𰑜	dnxn
U+3045D	𰑝	nfmd
U+3045E	𰑞	nfny
U+3045F	𰑟	amnu
U+30460	𰑠	nksy
U+30461	𰑡	jcfn
U+30462	𰑢	tmdn
U+30463	𰑣	tfkn
U+30464	𰑤	npdc
U+30465	𰑥	nueg
U+30466	𰑦	noig
U+30467	𰑧	lrnu
U+30468	𰑨	gfqn
U+30469	𰑩	swcn
U+3046A	𰑪	nkjn
U+3046B	𰑫	nlqy
U+3046C	𰑬	nrfm
U+3046D	𰑭	qatn
U+3046E	𰑮	nyty
U+3046F	𰑯	ncwn
U+30470	𰑰	nfpe
U+30471	𰑱	ndjb
U+30472	𰑲	fwtn
U+30473	𰑳	nfmf
U+30474	𰑴	fjfn
U+30475	𰑵	gkpn
U+30476	𰑶	jtgn
U+30477	𰑷	qkqn
U+30478	𰑸	ogun
U+30479	𰑹	nuej
U+3047A	𰑺	nitd
U+3047B	𰑻	ukhn
U+3047C	𰑼	dhsn
U+3047D	𰑽	nimy
U+3047E	𰑾	naee
U+3047F	𰑿	nipq
U+30480	𰒀	ncoy
U+30481	𰒁	tonn
U+30482	𰒂	nbtn
U+30483	𰒃	ytrn
U+30484	𰒄	oufn
U+30485	𰒅	nfvg
U+30486	𰒆	nagw
U+30487	𰒇	nwde
U+30488	𰒈	nykb
U+30489	𰒉	npbc
U+3048A	𰒊	ytfn
U+3048B	𰒋	ndgr
U+3048C	𰒌	brbn
U+3048D	𰒍	fpkn
U+3048E	𰒎	nwys
U+3048F	𰒏	nqqw
U+30490	𰒐	nugh
U+30491	𰒑	nwgo
U+30492	𰒒	igkn
U+30493	𰒓	nnhk
U+30494	𰒔	ngme
U+30495	𰒕	nlga
U+30496	𰒖	edmn
U+30497	𰒗	ndqq
U+30498	𰒘	fnwn
U+30499	𰒙	niaw
U+3049A	𰒚	ujnk
U+3049B	𰒛	sfpn
U+3049C	𰒜	gogi
U+3049D	𰒝	gkit
U+3049E	𰒞	nvln
U+3049F	𰒟	nsue
U+304A0	𰒠	wwkn
U+304A1	𰒡	nfkk
U+304A2	𰒢	ntly
U+304A3	𰒣	pkkn
U+304A4	𰒤	dhay
U+304A5	𰒥	aak
U+304A6	𰒦	atud
U+304A7	𰒧	aqci
U+304A8	𰒨	xawi
U+304A9	𰒩	ajfk
U+304AA	𰒪	gkua
U+304AB	𰒫	agbj
U+304AC	𰒬	hkwa
U+304AD	𰒭	amjk
U+304AE	𰒮	dyxi
U+304AF	𰒯	aooa
U+304B0	𰒰	yuma
U+304B1	𰒱	vjsa
U+304B2	𰒲	akgg
U+304B3	𰒳	dyxd
U+304B4	𰒴	ynyr
U+304B5	𰒵	rnyk
U+304B6	𰒶	rnyy
U+304B7	𰒷	ran
U+304B8	𰒸	rbh
U+304B9	𰒹	rnnn
U+304BA	𰒺	rngg
U+304BB	𰒻	rbh
U+304BC	𰒼	rdg
U+304BD	𰒽	rgqt
U+304BE	𰒾	rssj
U+304BF	𰒿	raqn
U+304C0	𰓀	rgxy
U+304C1	𰓁	rxxn
U+304C2	𰓂	ray
U+304C3	𰓃	rdcy
U+304C4	𰓄	rtay
U+304C5	𰓅	qarj
U+304C6	𰓆	rqng
U+304C7	𰓇	rpy
U+304C8	𰓈	rrng
U+304C9	𰓉	yrj
U+304CA	𰓊	rewy
U+304CB	𰓋	rvhh
U+304CC	𰓌	rgkh
U+304CD	𰓍	rafg
U+304CE	𰓎	rskg
U+304CF	𰓏	rdkg
U+304D0	𰓐	rkry
U+304D1	𰓑	rlh
U+304D2	𰓒	rjnn
U+304D3	𰓓	rwmh
U+304D4	𰓔	ruwy
U+304D5	𰓕	rudy
U+304D6	𰓖	rxjh
U+304D7	𰓗	rdfy
U+304D8	𰓘	rawy
U+304D9	𰓙	ddyr
U+304DA	𰓚	rdhb
U+304DB	𰓛	ajrj
U+304DC	𰓜	rabh
U+304DD	𰓝	rjgh
U+304DE	𰓞	rtey
U+304DF	𰓟	rvsy
U+304E0	𰓠	rwfc
U+304E1	𰓡	rwvt
U+304E2	𰓢	runy
U+304E3	𰓣	rpcy
U+304E4	𰓤	rytf
U+304E5	𰓥	rotc
U+304E6	𰓦	rpqn
U+304E7	𰓧	rbiy
U+304E8	𰓨	rcsy
U+304E9	𰓩	rxbn
U+304EA	𰓪	rvgh
U+304EB	𰓫	ralh
U+304EC	𰓬	rgmy
U+304ED	𰓭	rfny
U+304EE	𰓮	rsgs
U+304EF	𰓯	rgki
U+304F0	𰓰	rdww
U+304F1	𰓱	rjcf
U+304F2	𰓲	kejr
U+304F3	𰓳	rrfh
U+304F4	𰓴	rqgy
U+304F5	𰓵	rtdh
U+304F6	𰓶	tjrj
U+304F7	𰓷	rugg
U+304F8	𰓸	rrnk
U+304F9	𰓹	ryay
U+304FA	𰓺	rahh
U+304FB	𰓻	rfwq
U+304FC	𰓼	rlrh
U+304FD	𰓽	rajg
U+304FE	𰓾	rlmh
U+304FF	𰓿	rhxf
U+30500	𰔀	rawx
U+30501	𰔁	rrhi
U+30502	𰔂	rudj
U+30503	𰔃	rifc
U+30504	𰔄	bdir
U+30505	𰔅	rgng
U+30506	𰔆	rdmd
U+30507	𰔇	rgkh
U+30508	𰔈	rfky
U+30509	𰔉	rglg
U+3050A	𰔊	rans
U+3050B	𰔋	rkhm
U+3050C	𰔌	radk
U+3050D	𰔍	rrhk
U+3050E	𰔎	rtdi
U+3050F	𰔏	rpqc
U+30510	𰔐	reto
U+30511	𰔑	rvgp
U+30512	𰔒	ratd
U+30513	𰔓	rdhc
U+30514	𰔔	rgqo
U+30515	𰔕	fpgr
U+30516	𰔖	rtdp
U+30517	𰔗	rrid
U+30518	𰔘	rent
U+30519	𰔙	rtec
U+3051A	𰔚	rpqy
U+3051B	𰔛	rouf
U+3051C	𰔜	ryke
U+3051D	𰔝	rcdi
U+3051E	𰔞	rcgt
U+3051F	𰔟	rfuy
U+30520	𰔠	rmmm
U+30521	𰔡	rltk
U+30522	𰔢	rwvm
U+30523	𰔣	rwym
U+30524	𰔤	ryhq
U+30525	𰔥	qtjs
U+30526	𰔦	reph
U+30527	𰔧	rtad
U+30528	𰔨	rpqy
U+30529	𰔩	rogl
U+3052A	𰔪	rssh
U+3052B	𰔫	rgbm
U+3052C	𰔬	rduo
U+3052D	𰔭	rake
U+3052E	𰔮	reln
U+3052F	𰔯	rqhu
U+30530	𰔰	rris
U+30531	𰔱	rutp
U+30532	𰔲	rpag
U+30533	𰔳	rdwf
U+30534	𰔴	ruud
U+30535	𰔵	rqrc
U+30536	𰔶	legr
U+30537	𰔷	rojf
U+30538	𰔸	raan
U+30539	𰔹	rtfn
U+3053A	𰔺	rtco
U+3053B	𰔻	remj
U+3053C	𰔼	roni
U+3053D	𰔽	raky
U+3053E	𰔾	wgkh
U+3053F	𰔿	rlxy
U+30540	𰕀	fcvi
U+30541	𰕁	fcvf
U+30542	𰕂	fcuh
U+30543	𰕃	gnhc
U+30544	𰕄	dyty
U+30545	𰕅	arhc
U+30546	𰕆	yhcy
U+30547	𰕇	caty
U+30548	𰕈	tdjt
U+30549	𰕉	atdc
U+3054A	𰕊	ebty
U+3054B	𰕋	imkc
U+3054C	𰕌	wyty
U+3054D	𰕍	ytkh
U+3054E	𰕎	ycet
U+3054F	𰕏	gmwt
U+30550	𰕐	hpgc
U+30551	𰕑	wgst
U+30552	𰕒	ipkc
U+30553	𰕓	riet
U+30554	𰕔	wwft
U+30555	𰕕	ujft
U+30556	𰕖	bkgt
U+30557	𰕗	hndt
U+30558	𰕘	halc
U+30559	𰕙	qxty
U+3055A	𰕚	tgyy
U+3055B	𰕛	xuxy
U+3055C	𰕜	thay
U+3055D	𰕝	tfrh
U+3055E	𰕞	rghy
U+3055F	𰕟	ngmr
U+30560	𰕠	hjhr
U+30561	𰕡	xffr
U+30562	𰕢	agkr
U+30563	𰕣	kklr
U+30564	𰕤	hjhr
U+30565	𰕥	kklr
U+30566	𰕦	ajdr
U+30567	𰕧	yxjh
U+30568	𰕨	yqiy
U+30569	𰕩	yieg
U+3056A	𰕪	yebg
U+3056B	𰕫	yyve
U+3056C	𰕬	ytjf
U+3056D	𰕭	ytwc
U+3056E	𰕮	ytgf
U+3056F	𰕯	ytni
U+30570	𰕰	jfqn
U+30571	𰕱	jgnn
U+30572	𰕲	jjg
U+30573	𰕳	jbg
U+30574	𰕴	jfan
U+30575	𰕵	jdet
U+30576	𰕶	jwcy
U+30577	𰕷	jwjh
U+30578	𰕸	jghg
U+30579	𰕹	jfet
U+3057A	𰕺	jgcy
U+3057B	𰕻	jlh
U+3057C	𰕼	jjhh
U+3057D	𰕽	xjf
U+3057E	𰕾	nwjf
U+3057F	𰕿	jsf
U+30580	𰖀	jfnf
U+30581	𰖁	jgmi
U+30582	𰖂	jivg
U+30583	𰖃	wwwj
U+30584	𰖄	jqgb
U+30585	𰖅	jtfq
U+30586	𰖆	bigj
U+30587	𰖇	jdqn
U+30588	𰖈	jgod
U+30589	𰖉	jgku
U+3058A	𰖊	jjdy
U+3058B	𰖋	jtww
U+3058C	𰖌	jqtg
U+3058D	𰖍	jgji
U+3058E	𰖎	jdey
U+3058F	𰖏	jlpy
U+30590	𰖐	jgfg
U+30591	𰖑	jrpy
U+30592	𰖒	jgdj
U+30593	𰖓	jpud
U+30594	𰖔	jijg
U+30595	𰖕	jblg
U+30596	𰖖	jgmc
U+30597	𰖗	wgoj
U+30598	𰖘	qadj
U+30599	𰖙	jyre
U+3059A	𰖚	jovg
U+3059B	𰖛	jcoy
U+3059C	𰖜	jfsy
U+3059D	𰖝	jqyl
U+3059E	𰖞	jtgf
U+3059F	𰖟	jiye
U+305A0	𰖠	jcwy
U+305A1	𰖡	jfmy
U+305A2	𰖢	jfyt
U+305A3	𰖣	jafy
U+305A4	𰖤	jiph
U+305A5	𰖥	hvej
U+305A6	𰖦	jjpn
U+305A7	𰖧	jtdp
U+305A8	𰖨	tdkf
U+305A9	𰖩	jyrc
U+305AA	𰖪	jyud
U+305AB	𰖫	dwge
U+305AC	𰖬	jykt
U+305AD	𰖭	jugh
U+305AE	𰖮	jnnw
U+305AF	𰖯	jdap
U+305B0	𰖰	jghc
U+305B1	𰖱	jwgp
U+305B2	𰖲	wgkj
U+305B3	𰖳	jtgb
U+305B4	𰖴	nlrj
U+305B5	𰖵	jvhl
U+305B6	𰖶	jtel
U+305B7	𰖷	jujv
U+305B8	𰖸	jptl
U+305B9	𰖹	jftf
U+305BA	𰖺	jfly
U+305BB	𰖻	jugi
U+305BC	𰖼	jalj
U+305BD	𰖽	jtfm
U+305BE	𰖾	jdwj
U+305BF	𰖿	jtyf
U+305C0	𰗀	ulgj
U+305C1	𰗁	mafn
U+305C2	𰗂	vfjg
U+305C3	𰗃	wljj
U+305C4	𰗄	ywef
U+305C5	𰗅	ejnn
U+305C6	𰗆	mqeg
U+305C7	𰗇	etds
U+305C8	𰗈	dede
U+305C9	𰗉	eyki
U+305CA	𰗊	edpy
U+305CB	𰗋	eeeg
U+305CC	𰗌	eghy
U+305CD	𰗍	eujf
U+305CE	𰗎	eada
U+305CF	𰗏	defq
U+305D0	𰗐	aii
U+305D1	𰗑	csu
U+305D2	𰗒	scu
U+305D3	𰗓	sot
U+305D4	𰗔	ahts
U+305D5	𰗕	qsu
U+305D6	𰗖	swxn
U+305D7	𰗗	swbn
U+305D8	𰗘	jtys
U+305D9	𰗙	sqvg
U+305DA	𰗚	spgg
U+305DB	𰗛	scgg
U+305DC	𰗜	ddys
U+305DD	𰗝	sfmg
U+305DE	𰗞	ivsu
U+305DF	𰗟	srbq
U+305E0	𰗠	stmh
U+305E1	𰗡	sutt
U+305E2	𰗢	splg
U+305E3	𰗣	ywws
U+305E4	𰗤	spgf
U+305E5	𰗥	sepy
U+305E6	𰗦	snyu
U+305E7	𰗧	hmns
U+305E8	𰗨	sjfy
U+305E9	𰗩	jstc
U+305EA	𰗪	kasu
U+305EB	𰗫	sknf
U+305EC	𰗬	stfp
U+305ED	𰗭	ycns
U+305EE	𰗮	spsy
U+305EF	𰗯	spqf
U+305F0	𰗰	snsy
U+305F1	𰗱	sdyp
U+305F2	𰗲	shlq
U+305F3	𰗳	jsgg
U+305F4	𰗴	styg
U+305F5	𰗵	spjh
U+305F6	𰗶	silg
U+305F7	𰗷	pqks
U+305F8	𰗸	sbdi
U+305F9	𰗹	svij
U+305FA	𰗺	sdam
U+305FB	𰗻	sgov
U+305FC	𰗼	sjtg
U+305FD	𰗽	sjug
U+305FE	𰗾	stds
U+305FF	𰗿	tigs
U+30600	𰘀	sgkh
U+30601	𰘁	sitq
U+30602	𰘂	sody
U+30603	𰘃	scnh
U+30604	𰘄	sbgn
U+30605	𰘅	sxtk
U+30606	𰘆	sbjb
U+30607	𰘇	sgkh
U+30608	𰘈	sawl
U+30609	𰘉	file
U+3060A	𰘊	jsda
U+3060B	𰘋	jsrc
U+3060C	𰘌	swqg
U+3060D	𰘍	swgg
U+3060E	𰘎	stfc
U+3060F	𰘏	sivs
U+30610	𰘐	hxsy
U+30611	𰘑	oufs
U+30612	𰘒	ubts
U+30613	𰘓	apss
U+30614	𰘔	sfig
U+30615	𰘕	svqc
U+30616	𰘖	sadi
U+30617	𰘗	sfyt
U+30618	𰘘	ssyn
U+30619	𰘙	sgnj
U+3061A	𰘚	ssgo
U+3061B	𰘛	smay
U+3061C	𰘜	sltk
U+3061D	𰘝	swvm
U+3061E	𰘞	rsyg
U+3061F	𰘟	srie
U+30620	𰘠	suqe
U+30621	𰘡	ytns
U+30622	𰘢	spbc
U+30623	𰘣	sxrh
U+30624	𰘤	nfis
U+30625	𰘥	sgmi
U+30626	𰘦	fiyf
U+30627	𰘧	sfke
U+30628	𰘨	fffs
U+30629	𰘩	savj
U+3062A	𰘪	jsry
U+3062B	𰘫	sjgg
U+3062C	𰘬	jswn
U+3062D	𰘭	hhhs
U+3062E	𰘮	srns
U+3062F	𰘯	sxik
U+30630	𰘰	sxdx
U+30631	𰘱	xdjs
U+30632	𰘲	sbjr
U+30633	𰘳	sgkm
U+30634	𰘴	sduo
U+30635	𰘵	sfdl
U+30636	𰘶	sqgt
U+30637	𰘷	spaf
U+30638	𰘸	sovt
U+30639	𰘹	suqm
U+3063A	𰘺	sygi
U+3063B	𰘻	sgmd
U+3063C	𰘼	qtjs
U+3063D	𰘽	sjxo
U+3063E	𰘾	ddds
U+3063F	𰘿	sjaf
U+30640	𰙀	suls
U+30641	𰙁	jsad
U+30642	𰙂	xrxq
U+30643	𰙃	tjgs
U+30644	𰙄	rlgs
U+30645	𰙅	ahns
U+30646	𰙆	ssli
U+30647	𰙇	gkii
U+30648	𰙈	rlgs
U+30649	𰙉	gogo
U+3064A	𰙊	vfqw
U+3064B	𰙋	qngw
U+3064C	𰙌	mngw
U+3064D	𰙍	fpcw
U+3064E	𰙎	wgiw
U+3064F	𰙏	joqw
U+30650	𰙐	hhgw
U+30651	𰙑	vijw
U+30652	𰙒	hgow
U+30653	𰙓	wdcw
U+30654	𰙔	eskw
U+30655	𰙕	ovqw
U+30656	𰙖	glkw
U+30657	𰙗	eeqw
U+30658	𰙘	wgkw
U+30659	𰙙	yilw
U+3065A	𰙚	shg
U+3065B	𰙛	ghsh
U+3065C	𰙜	vyhf
U+3065D	𰙝	hgf
U+3065E	𰙞	htff
U+3065F	𰙟	byhf
U+30660	𰙠	gmwh
U+30661	𰙡	hpxb
U+30662	𰙢	hchf
U+30663	𰙣	hnan
U+30664	𰙤	ghgh
U+30665	𰙥	hxrc
U+30666	𰙦	fhxy
U+30667	𰙧	kkhf
U+30668	𰙨	vfhf
U+30669	𰙩	vyvh
U+3066A	𰙪	yuph
U+3066B	𰙫	hfuf
U+3066C	𰙬	swwh
U+3066D	𰙭	hwyf
U+3066E	𰙮	rtfh
U+3066F	𰙯	hhdy
U+30670	𰙰	hwge
U+30671	𰙱	hpgf
U+30672	𰙲	yuph
U+30673	𰙳	btah
U+30674	𰙴	gkmh
U+30675	𰙵	hykk
U+30676	𰙶	pawh
U+30677	𰙷	yumh
U+30678	𰙸	ghuf
U+30679	𰙹	hxii
U+3067A	𰙺	tedh
U+3067B	𰙻	jfdh
U+3067C	𰙼	gqdg
U+3067D	𰙽	gqfg
U+3067E	𰙾	gqwg
U+3067F	𰙿	gqhh
U+30680	𰚀	gquf
U+30681	𰚁	gquf
U+30682	𰚂	gqgm
U+30683	𰚃	fkuc
U+30684	𰚄	ywrc
U+30685	𰚅	plwc
U+30686	𰚆	lvwc
U+30687	𰚇	yumc
U+30688	𰚈	fpfc
U+30689	𰚉	fpkc
U+3068A	𰚊	oguc
U+3068B	𰚋	qkxn
U+3068C	𰚌	xxoc
U+3068D	𰚍	tfnu
U+3068E	𰚎	tfnx
U+3068F	𰚏	dhtn
U+30690	𰚐	tfnc
U+30691	𰚑	tfnv
U+30692	𰚒	tfnh
U+30693	𰚓	tfnm
U+30694	𰚔	pstn
U+30695	𰚕	tfnk
U+30696	𰚖	awtn
U+30697	𰚗	uatn
U+30698	𰚘	tfnb
U+30699	𰚙	tfno
U+3069A	𰚚	tfnk
U+3069B	𰚛	tfnf
U+3069C	𰚜	tfnb
U+3069D	𰚝	tfnk
U+3069E	𰚞	gmhn
U+3069F	𰚟	tfnf
U+306A0	𰚠	pfin
U+306A1	𰚡	tfnf
U+306A2	𰚢	uktn
U+306A3	𰚣	tfnu
U+306A4	𰚤	sftn
U+306A5	𰚥	tvdn
U+306A6	𰚦	ovtn
U+306A7	𰚧	tfno
U+306A8	𰚨	swwn
U+306A9	𰚩	dfen
U+306AA	𰚪	jtyn
U+306AB	𰚫	ykmn
U+306AC	𰚬	tfnw
U+306AD	𰚭	nnwn
U+306AE	𰚮	cnhn
U+306AF	𰚯	sfin
U+306B0	𰚰	gotn
U+306B1	𰚱	ugln
U+306B2	𰚲	tfnw
U+306B3	𰚳	yotn
U+306B4	𰚴	tfns
U+306B5	𰚵	fahn
U+306B6	𰚶	bbbn
U+306B7	𰚷	nghf
U+306B8	𰚸	fcna
U+306B9	𰚹	mdna
U+306BA	𰚺	lqqa
U+306BB	𰚻	rnxv
U+306BC	𰚼	rnfc
U+306BD	𰚽	rnqr
U+306BE	𰚾	rnfi
U+306BF	𰚿	rnhd
U+306C0	𰛀	rnfk
U+306C1	𰛁	rnla
U+306C2	𰛂	rnqq
U+306C3	𰛃	rnwj
U+306C4	𰛄	hnv
U+306C5	𰛅	htyi
U+306C6	𰛆	tii
U+306C7	𰛇	ify
U+306C8	𰛈	ihgg
U+306C9	𰛉	iun
U+306CA	𰛊	icgg
U+306CB	𰛋	ifu
U+306CC	𰛌	iftt
U+306CD	𰛍	idcy
U+306CE	𰛎	ifwy
U+306CF	𰛏	iwwy
U+306D0	𰛐	iqwy
U+306D1	𰛑	ipgg
U+306D2	𰛒	iaiy
U+306D3	𰛓	igcy
U+306D4	𰛔	iduy
U+306D5	𰛕	gjiu
U+306D6	𰛖	duiu
U+306D7	𰛗	iuxn
U+306D8	𰛘	ikry
U+306D9	𰛙	hiy
U+306DA	𰛚	immg
U+306DB	𰛛	iuwy
U+306DC	𰛜	ihnn
U+306DD	𰛝	ivcy
U+306DE	𰛞	iget
U+306DF	𰛟	iguf
U+306E0	𰛠	igqx
U+306E1	𰛡	ixxf
U+306E2	𰛢	idhf
U+306E3	𰛣	rvyi
U+306E4	𰛤	iabh
U+306E5	𰛥	imnn
U+306E6	𰛦	imqy
U+306E7	𰛧	ihgi
U+306E8	𰛨	iqmy
U+306E9	𰛩	iucg
U+306EA	𰛪	yoiu
U+306EB	𰛫	irth
U+306EC	𰛬	ifmd
U+306ED	𰛭	ixxf
U+306EE	𰛮	ihlr
U+306EF	𰛯	itqn
U+306F0	𰛰	iwda
U+306F1	𰛱	itfp
U+306F2	𰛲	owgg
U+306F3	𰛳	iqwy
U+306F4	𰛴	iran
U+306F5	𰛵	iusy
U+306F6	𰛶	iybg
U+306F7	𰛷	iwmi
U+306F8	𰛸	ippy
U+306F9	𰛹	iynn
U+306FA	𰛺	ibeg
U+306FB	𰛻	ivoy
U+306FC	𰛼	iceh
U+306FD	𰛽	isdm
U+306FE	𰛾	swwi
U+306FF	𰛿	ihjc
U+30700	𰜀	iheg
U+30701	𰜁	ijxx
U+30702	𰜂	thip
U+30703	𰜃	immk
U+30704	𰜄	itet
U+30705	𰜅	wkki
U+30706	𰜆	ieef
U+30707	𰜇	iwgr
U+30708	𰜈	iilg
U+30709	𰜉	ooiu
U+3070A	𰜊	ylki
U+3070B	𰜋	inyi
U+3070C	𰜌	ilvt
U+3070D	𰜍	ifku
U+3070E	𰜎	isbe
U+3070F	𰜏	idmy
U+30710	𰜐	ijtq
U+30711	𰜑	iatc
U+30712	𰜒	ikhl
U+30713	𰜓	ihgf
U+30714	𰜔	ikhj
U+30715	𰜕	ijlf
U+30716	𰜖	imwl
U+30717	𰜗	ikkk
U+30718	𰜘	iths
U+30719	𰜙	iebe
U+3071A	𰜚	iwyg
U+3071B	𰜛	iwyg
U+3071C	𰜜	iusy
U+3071D	𰜝	iufj
U+3071E	𰜞	ipqd
U+3071F	𰜟	iukh
U+30720	𰜠	inve
U+30721	𰜡	ibth
U+30722	𰜢	iekm
U+30723	𰜣	inug
U+30724	𰜤	imwg
U+30725	𰜥	ifjj
U+30726	𰜦	iafh
U+30727	𰜧	ijfk
U+30728	𰜨	iadb
U+30729	𰜩	ildn
U+3072A	𰜪	ikhh
U+3072B	𰜫	irgp
U+3072C	𰜬	iwvm
U+3072D	𰜭	iwgk
U+3072E	𰜮	iybg
U+3072F	𰜯	ipqe
U+30730	𰜰	iivg
U+30731	𰜱	irrj
U+30732	𰜲	igld
U+30733	𰜳	immv
U+30734	𰜴	iath
U+30735	𰜵	ikkl
U+30736	𰜶	irnk
U+30737	𰜷	itxt
U+30738	𰜸	iwuh
U+30739	𰜹	itmt
U+3073A	𰜺	itug
U+3073B	𰜻	iqtj
U+3073C	𰜼	ipbc
U+3073D	𰜽	iuql
U+3073E	𰜾	aify
U+3073F	𰜿	ipqo
U+30740	𰝀	iulc
U+30741	𰝁	iuft
U+30742	𰝂	icci
U+30743	𰝃	ifyt
U+30744	𰝄	icob
U+30745	𰝅	iapk
U+30746	𰝆	ijjy
U+30747	𰝇	itwf
U+30748	𰝈	ipqw
